ccg,group,postcode,practice_name,address,list_size,brick,
 Bromley ,GP SURGERY,BR7 6DB,DR CHOONG & PARTNERS,THE WOODLANDS PRACTICE,9500,BR05,442084687779
 Luton ,GP SURGERY,LU3 4BG,BRAMINGHAM PARK MEDICAL CENTRE,LUCAS GARDENS,6000,LU03,441582597737
 North East Essex ,GP PRACTICE DISPENSING,CO2 0JJ,WINSTREE MEDICAL PRACTICE,64 MALTING GREEN ROAD,7000,CO05,441206734293
 Hastings and Rother ,GP SURGERY,TN39 5HE,SIDLEY MEDICAL PRACTICE,44 TURKEY ROAD,16403,TN39,441424230025
 Horsham and Mid Sussex ,GP PRACTICE DISPENSING,RH17 6PH,OUSE VALLEY PRACTICE,DEANLAND ROAD,6315,RH16,441444405750
 Lambeth ,GP SURGERY,SE24 0AU,HERNE HILL ROAD MEDICAL PRACTICE,1-3 HERNE HILL ROAD,5800,SE24,442077379393
 Southwark ,GP SURGERY,SE5 9NS,THE CORNER SURGERY,99 COLDHARBOUR LANE,5500,SE05,442072744507
 Harrow ,PRIVATE SURGERY,HA7 4QT,DR J M BENN & ASSOCIATES,THE SURGERY,0,HA07,442089588557
 Barking and Dagenham ,GP SURGERY,RM8 1BX,GREEN LANE SURGERY,872 GREEN LANE,3500,RM08,442085997151
 South Lincolnshire ,GP PRACTICE DISPENSING,PE11 1LT,DR NATHU,210 PENNYGATE,3500,PE11,441775710133
 Hammersmith and Fulham ,GP SURGERY,SW6 7HS,THE SALISBURY SURGERY,178 DAWES ROAD,2300,SW06,442073819195
 North and West Reading ,GP SURGERY,RG30 6BW,TILEHURST SURGERY PARTNERSHIP,TYLERS PLACE,13300,RG30,441189427528
 Haringey ,GP SURGERY,N22 8NW,MYDDLETON ROAD SURGERY,52 MYDDLETON ROAD,3100,NZ22,442088811165
 Havering ,GP SURGERY,RM12 4AN,DR UBEROY,30 DORIAN ROAD,5200,RM12,441708470791
 West Norfolk ,GP PRACTICE DISPENSING,PE33 9AG,DR SIMPSON & PARTNER,CHAPEL ROAD,3460,PE37,441366500331
 West Suffolk ,GP PRACTICE DISPENSING,IP33 1AE,THE SWAN SURGERY,NORTHGATE BUSINESS PARK,16100,IP33,441284750011
 Southwark ,GP SURGERY,SE22 8LY,306 MEDICAL CENTRE,306 LORDSHIP LANE,3700,SE22,442086934704
 Barking and Dagenham ,GP SURGERY,IG11 8PY,DR CHAWLA,60 VICTORIA ROAD,3000,IG11,442085535111
 Harrow ,GP SURGERY,HA1 1PG,THE HEADSTONE ROAD SURGERY,107 HEADSTONE ROAD,3600,HA01,442088638923
 Wandsworth ,GP SURGERY,SW11 5JP,DR GRANNELL & PARTNERS,BATTERSEA FIELDS PRACTICE,11000,SW11,442076277100
 Cambs and Peterborough ,GP PRACTICE DISPENSING,CB3 0PA,HUNTINGDON ROAD GROUP PRACTICE,PEPYS WAY,14000,CB23,441223277449
 Tower Hamlets ,GP SURGERY,E14 0PU,ABERFELDY PRACTICE,2A ETTRICK STREET,6000,EZ14,442075155622
 Oxfordshire ,GP SURGERY,OX1 2NP,BEAUMONT STREET SURGERY,28 BEAUMONT STREET,4500,OX01,441865311811
 North East West Devon,GP SURGERY,PL1 4JZ,DEVONPORT HEALTH CENTRE,DAMEREL CLOSE,3050,PL01,441752561500
 Barnet ,PRIVATE SURGERY,NW11 8DN,DR J H R BROOK,THE LEXINGTON,0,NW11,442074350211
 West Kent ,GP SURGERY,TN2 5PX,ROWAN TREE SURGERY,ROWAN TREE ROAD,3800,TN02,441892573108
 Kernow ,GP PRACTICE DISPENSING,TR2 5EE,THE ROSELAND SURGERIES,PORTSCATHO SURGERY,3700,TR01,441872580345
 Bedfordshire ,GP SURGERY,MK40 2DQ,DR KANUNGO & PARTNER,LINDEN ROAD SURGERY,3700,MK40,441234273272
 Waltham Forest ,GP SURGERY,E4 7NX,KINGSHEAD SURGERY,178 KINGS HEAD HILL,3540,EZ04,442085293501
 North East Essex ,GP SURGERY,CO5 9AE,KELVEDON SURGERY,BRIMPTON HOUSE,3253,CO05,441376574560
 Chiltern ,GP SURGERY,HP16 0BG,THE PRACTICE PROSPECT HOUSE,HIGH STREET,3000,HP16,441494862325
 Thurrock ,GP SURGERY,RM15 4AD,DR LEIGHTON & PARTNERS,AVELEY MEDICAL CENTRE,13000,RM15,441708899490
 Dartford Gravesswanley ,GP SURGERY,DA12 5BW,OAKFIELD HEALTH CENTRE,WINDSOR ROAD,11500,DA12,441474537123
 North West Surrey ,GP SURGERY,GU22 8BT,COLLEGE ROAD SURGERY,4-6 COLLEGE ROAD,3410,GU22,441483771309
 Lambeth ,GP SURGERY,SW16 6LY,STREATHAM PARK SURGERY,91 MITCHAM LANE,4500,SW16,442088350077
 Dorset ,GP SURGERY,BH8 0HS,WOODLEA HOUSE SURGERY,1 CRANTOCK GROVE,4100,BH08,441202300903
 Hounslow ,GP SURGERY,W4 3ET,GROVE PARK SURGERY,95 BURLINGTON LANE,7200,WZ04,442087471549
 Hastings and Rother ,GP SURGERY,TN38 0TA,SEDLESCOMBE HOUSE SURGERY,8 SEDLESCOMBE ROAD SOUTH,3800,TN37,441424720574
 Croydon ,GP SURGERY,SE25 6AA,DR SRIVASTAVA & PARTNER,THE MEDICAL CENTRE,2500,SE25,442086530635
 Redbridge ,GP SURGERY,IG5 0LG,CLAYHALL CLINIC,14 CLAYHALL AVENUE,6000,IG04,442085513193
 Havering ,GP SURGERY,RM12 5PA,DR RAHMAN & PARTNER,482 SOUTH END ROAD,2847,RM12,441708476036
 Medway ,PRIVATE SURGERY,ME8 7HS,DR C J GEORGE,1 CHEVEQUER CHAMBERS,0,ME08,441634231333
 Southampton ,GP SURGERY,SO15 2HQ,WALNUT TREE SURGERY,14 CARLTON ROAD,3000,SO15,442380333326
 Southend ,GP SURGERY,SS9 4JQ,THE LEIGH SURGERY,194 ELMSLEIGH DRIVE,2000,SS09,441702470705
 Sutton ,GP SURGERY,SM4 6RT,FACCINI HOUSE SURGERY,64 MIDDLETON ROAD,6500,SM04,442086464282
 Lincolnshire East ,GP SURGERY,LN12 1DP,THE MARISCO MEDICAL PRACTICE,STANLEY AVENUE,14000,LN12,441507473483
 Merton ,GP SURGERY,SW19 5BY,WIMBLEDON VILLAGE SURGERY,35A HIGH STREET WIMBLEDON,10200,SW19,442089464820
 East and N Herts ,GP SURGERY,SG6 4UB,BIRCHWOOD SURGERY,232-240 NEVELLS ROAD,14000,SG06,441462705040
 Ealing ,GP SURGERY,W5 3AJ,BOILEAU ROAD SURGERY,104 BOILEAU ROAD,3000,WZ05,442089976604
 Nene ,GP SURGERY,NN14 2NB,ROTHWELL MEDICAL CENTRE,35 HIGH STREET,20400,NN14,441536760345
 Dorset ,GP PRACTICE DISPENSING,BH21 6RQ,WEST MOORS GROUP PRACTICE,RUSHMOOR HOUSE,5200,BH21,441202811860
 Kernow ,GP SURGERY,TR18 4JH,THE ALVERTON PRACTICE,7 ALVERTON TERRACE,6800,TR18,441736363741
 Surrey Downs ,GP SURGERY,KT23 3ND,EASTWICK PARK MEDICAL PRACTICE,EASTWICK PARK AVENUE,6500,KT22,441372452081
 Merton ,GP SURGERY,SW19 1DG,THE MERTON MEDICAL PRACTICE,12-17 ABBEY PARADE,5900,SW19,442085459620
 Newham ,GP SURGERY,E16 3JL,DR LWIN,343 PRINCE REGENT LANE,5000,EZ16,442075112980
 Hastings and Rother ,GP SURGERY,TN40 2SD,PEBSHAM SURGERY,119 SEABOURNE ROAD,8500,TN40,441424230399
 Dorset ,GP SURGERY,BH31 6BY,CRANBORNE PRACTICE,LAKE ROAD,9678,BH21,441202822825
 Ealing ,GP SURGERY,W5 2HS,CORFTON ROAD SURGERY,10 CORFTON ROAD,7000,WZ05,442089974215
 Kernow ,GP SURGERY,TR14 7DL,DR KEECH & PARTNERS,PHOENIX SURGERY,6000,TR15,441209714876
 Milton Keynes ,GP SURGERY,MK6 2LR,FISHERMEAD MEDICAL CENTRE,FISHERMEAD BOULEVARD,6600,MK10,441908609240
 Hastings and Rother ,GP PRACTICE DISPENSING,TN33 9JP,COLLINGTON SURGERY,HIGH STREET,10000,TN39,441424892569
 South Reading ,GP SURGERY,RG1 3NQ,DR BINDRA & PARTNERS,KENNET SURGERY,4500,RG01,441189666696
 Redbridge ,GP SURGERY,IG3 9RN,"GREEN LANE, GOODMAYES MEDICAL PRACTICE",595 GREEN LANE,6000,IG03,442036687499
 Havering ,GP SURGERY,RM5 3PJ,CHASE CROSS MEDICAL CENTRE,13-15 CHASE CROSS ROAD,5500,RM05,441708749918
 Barnet ,GP SURGERY,N2 9QD,DR TWENA & PARTNERS,EAST FINCHLEY MEDICAL PRACTICE,6000,NZ02,442088831458
 Havering ,GP SURGERY,RM3 7JJ,STRAIGHT ROAD SURGERY,137 STRAIGHT ROAD,2800,RM03,441708343281
 South Gloucestershire ,GP SURGERY,BS34 8UE,DR YOUNG & PARTNERS,STOKE GIFFORD MEDICAL CENTRE,15000,BS34,441179799430
 Castle Point Rochford ,GP SURGERY,SS6 9QD,DOWNHALL PARK SURGERY,49 RAWRETH LANE,3000,SS06,441268780408
 North East Hants Farnham,GP SURGERY,GU46 6FE,MONTEAGLE SURGERY,TESIMOND DRIVE,5680,GU17,441252878992
 Ipswich East Suffolk ,GP PRACTICE DISPENSING,IP5 3SL,MARTLESHAM HEATH SURGERY,23 THE SQUARE,5900,IP05,441473610028
 Barking and Dagenham ,GP SURGERY,RM9 5AS,HALBUTT STREET SURGERY,2 HALBUTT STREET,8000,RM09,442085921544
 Brent ,GP SURGERY,NW10 8UT,ACTON LANE SURGERY,85-87 ACTON LANE,3700,NW10,442089611183
 Sutton ,GP SURGERY,SM5 3LS,CARSHALTON FIELDS SURGERY,11 CRICHTON ROAD,3500,SM05,442086433030
 Cambs and Peterborough ,GP PRACTICE DISPENSING,PE28 3EU,PARKHALL SURGERY,PARKHALL ROAD,4636,PE28,441487740888
 Merton ,GP SURGERY,CR4 3DA,CRICKET GREEN MEDICAL PRACTICE,75-79 MILES ROAD,10000,CR04,442086480822
 Tower Hamlets ,GP SURGERY,E1 2LX,CITY WELLBEING PRACTICE,129 CANNON STREET ROAD,7400,EZ01,442074884240
 Lincolnshire East ,GP PRACTICE DISPENSING,PE25 3TD,HAWTHORN MEDICAL PRACTICE,HAWTHORN ROAD,13500,PE25,441754896350
 South Kent Coast ,GP SURGERY,CT17 9SG,DR PREMNATH & PARTNER,WHITE CLIFFS MEDICAL CENTRE,7000,CT16,441304201705
 Ipswich East Suffolk ,GP SURGERY,IP5 1JF,THE BIRCHES MEDICAL CENTRE,TWELVE ACRE APPROACH,7500,IP05,441473624800
 Greenwich ,GP SURGERY,SE18 7QU,THE WAVERLEY PRACTICE,37 WAVERLEY CRESCENT,7000,SE18,442081022324
 Brighton and Hove ,GP SURGERY,BN2 8BU,SALTDEAN & ROTTINGDEAN MEDICAL PRACTICE,"SALTDEAN SURGERY, GRAND OCEAN MEDICAL CE",9000,BN02,441273305723
 Waltham Forest ,GP SURGERY,E17 9LY,ADDISON ROAD MEDICAL PRACTICE,46 RAVENSWOOD ROAD,14500,EZ17,442084307171
 Lincolnshire West ,GP PRACTICE DISPENSING,LN1 2NU,DR SURESH NAGAPPA,85 SYKES LANE,4104,LN01,441522263444
 Wokingham ,GP SURGERY,RG40 1PH,BURMA HILLS SURGERY,ASHRIDGE ROAD,2000,RG40,441189785854
 Basildon and Brentwood ,GP SURGERY,SS11 8QS,THE SHOTGATE SURGERY,340 SOUTHEND ROAD,3200,SS12,441268561888
 Southampton ,GP SURGERY,SO16 4NZ,BROOK HOUSE SURGERY,98 OAKLEY ROAD,4600,SO16,442380774853
 Bromley ,GP SURGERY,BR5 4LA,DR BALARATNAM,1 GILLMANS ROAD,2980,BR05,441689822022
 West London K&C and Qpp ,GP SURGERY,W10 6DZ,EXMOOR SURGERY,ST CHARLES CENTRE FOR HEALTH WELLBEING,3500,WZ10,442089625166
 North East West Devon,GP PRACTICE DISPENSING,EX6 6JA,DR CLUNIE & PARTNER,CHERITON BISHOP & TEIGN VALLEY PRACTICE,4600,EX17,44164724272
 Lincolnshire West ,GP SURGERY,LN1 3LT,BURTON ROAD SURGERY,181 BURTON ROAD,3000,LN01,441522544222
 Croydon ,GP SURGERY,CR2 9HH,DR WOOLF,116 MITCHLEY AVENUE,3650,CR02,442086576565
 South Kent Coast ,GP SURGERY,CT18 7BP,THE HAWKINGE & ELHAM VALLEY PRACTICE,74 CANTERBURY ROAD,9200,CT21,443000425555
 Lincolnshire East ,GP PRACTICE DISPENSING,LN8 6ED,DR MEIWALD,BACK LANE,2500,LN08,441472398202
 Cambs and Peterborough ,GP SURGERY,PE1 4YL,PARNWELL MEDICAL CENTRE,PARNWELL LOCAL CENTRE,1500,PE01,441733896112
 Lewisham ,GP SURGERY,SE13 6DQ,THE TRIANGLE GROUP PRACTICE,2 MORLEY ROAD,7700,SE13,442083187272
 Central London ,GP SURGERY,SW1W 8NA,DR MUIR,13 PIMLICO ROAD,7200,SW01,442077305171
 Barnet ,GP SURGERY,NW11 8NH,THE HODFORD ROAD SURGERY,73 HODFORD ROAD,3200,NW11,442089055234
 City and Hackney ,GP SURGERY,N16 9DP,STATHAM GROVE SURGERY,STATHAM GROVE,8183,NZ16,442072544327
 Thanet ,GP SURGERY,CT10 2SQ,ST PETER'S SURGERY,6-8 OAKLANDS AVENUE,4600,CT10,441843608860
 Enfield ,GP SURGERY,N9 7HD,BOUNDARY HOUSE SURGERY,FOREST PRIMARY CARE CENTRE,3800,NZ09,442083443120
 Croydon ,GP SURGERY,CR0 5BG,DR SALERNO,7 GRAVEL HILL,3000,CR00,442086554013
 Wiltshire ,GP SURGERY,SN11 9UT,BEVERSBROOK MEDICAL CENTRE,HARRIER CLOSE,5945,SN11,441249821831
 East and N Herts ,GP SURGERY,CM23 4DA,SOUTH STREET SURGERY,2 BISHOPS PARK CENTRE,20000,CM23,441279465700
 Islington ,PRIVATE SURGERY,EC2M 5TU,DR KELLY & ASSOCIATES,65 LONDON WALL,0,EC01,442076382999
 Nene ,GP SURGERY,NN16 8JZ,DRYLAND SURGERY,1 FIELD STREET,12000,NN16,441536518951
 Cambs and Peterborough ,GP SURGERY,PE29 3EZ,HICK GROUP PRACTICE,CHARLES HICKS CENTRE,13500,PE29,441480453038
 Bromley ,GP SURGERY,BR5 2JP,DR BAMBERGER & PARTNERS,BROOMWOOD ROAD SURGERY,10500,BR05,441689832454
 West Essex ,GP SURGERY,CM20 3NT,SYDENHAM HOUSE SURGERY,MONKSWICK ROAD,2600,CM20,441279422525
 Greenwich ,GP SURGERY,SE18 1ES,BANNOCKBURN SURGERY,20-22 BANNOCKBURN ROAD,5000,SE18,442088555540
 Greenwich ,GP SURGERY,SE18 1SE,DR MOSTAFA A M,141 PLUMSTEAD HIGH STREET,6300,SE18,442083178708
 Castle Point Rochford ,GP SURGERY,SS8 0JH,DR GHAURI & PARTNER,409 LONG ROAD,6128,SS08,441268692959
 West Suffolk ,GP PRACTICE DISPENSING,CO10 2AY,HARDWICKE HOUSE GROUP PRACTICE,STOUR STREET,22500,CO10,441787370011
 West Essex ,GP SURGERY,CM20 1DS,ADDISON HOUSE SURGERY,HAMSTEL ROAD,13000,CM20,441279621900
 Hastings and Rother ,GP SURGERY,TN34 1BA,THE STATION PRACTICE,STATION PLAZA HEALTH CENTRE,7000,TN34,441424464756
 Hastings and Rother ,GP SURGERY,TN34 1BA,CORNWALLIS PLAZA SURGERY,STATION PLAZA HEALTH CENTRE,3700,TN34,441424464754
 Sutton ,GP SURGERY,SM4 6BH,BISHOPFORD ROAD MEDICAL CENTRE,191 BISHOPFORD ROAD,4300,SM04,442086483187
 Wandsworth ,GP SURGERY,SW17 7BA,TOOTING BEC SURGERY,313 BALHAM HIGH ROAD,2500,SW17,442086820352
 North East West Devon,GP SURGERY,EX8 1DQ,IMPERIAL MEDICAL PRACTICE,47-49 IMPERIAL ROAD,4500,EX08,441395280362
 Bedfordshire ,GP SURGERY,LU5 5EZ,HOUGHTON REGIS MEDICAL CENTRE,PEEL STREET,10283,LU05,441582866161
 West Norfolk ,GP PRACTICE DISPENSING,PE37 7QN,DR HACZEWSKI & PARTNERS,MANOR FARM MEDICAL CENTRE,6000,PE37,441760721786
 Ealing ,GP SURGERY,W13 9BE,GROSVENOR HOUSE SURGERY,147 BROADWAY,6200,WZ13,442087992525
 Richmond ,GP SURGERY,KT1 4DY,HAMPTON WICK SURGERY,TUDOR HOUSE,8001,KT01,442089772638
 Lincolnshire West ,GP PRACTICE DISPENSING,LN4 1BN,WASHINGBOROUGH FAMILY PRACTICE,SCHOOL LANE SURGERY,7000,LN05,441522303600
 West Essex ,GP SURGERY,CM18 6LY,THE HAMILTON PRACTICE,KEATS HOUSE HEALTH CENTRE,9550,CM18,441279215415
 West Norfolk ,GP PRACTICE DISPENSING,PE37 7RD,THE CAMPINGLAND SURGERY,CAMPINGLAND,6100,PE37,441760721211
 West Essex ,GP SURGERY,CM18 6LY,THE ROSS PRACTICE,KEATS HOUSE,9500,CM18,441279215354
 South Gloucestershire ,GP SURGERY,BS34 5TF,CONISTON MEDICAL PRACTICE,THE PARADE,9570,BS34,441179692508
 Somerset ,GP SURGERY,TA9 3YA,HIGHBRIDGE MEDICAL CENTRE,PEPPERALL ROAD,14500,TA08,441278783220
 West Essex ,GP PRACTICE DISPENSING,CM5 0AL,ONGAR HEALTH CENTRE,ONGAR WAR MEMORIAL MEDICAL CENTRE,10084,CM05,441277367200
 Wiltshire ,GP PRACTICE DISPENSING,SP5 2SU,WHITEPARISH SURGERY,COMMON ROAD,6900,SP02,441794884269
 Windsor Ascot Maidenhead,GP SURGERY,SL6 6EL,DR WHEELER & PARTNERS,THE SYMONS MEDICAL CENTRE,12000,SL06,441628626131
 Dorset ,GP SURGERY,BH1 4HA,PROVIDENCE SURGERY,12 WALPOLE ROAD,9357,BH01,441202395195
 Enfield ,GP SURGERY,EN2 6TJ,DR THEIVENDRA,37 CECIL ROAD,2852,EN02,442030921662
 Canterbury and Coastal ,GP SURGERY,CT2 7PB,DR NORMAN & PARTNERS,UNIVERSITY MEDICAL CENTRE,12700,CT02,441227469333
 North Somerset ,GP SURGERY,BS22 9HF,THE VILLAGE SURGERY,HILL ROAD EAST,4000,BS22,441934516671
 Nene ,GP SURGERY,NN16 8DN,WEAVERS MEDICAL,PROSPECT HOUSE,16000,NN16,441536513494
 North Norfolk ,GP PRACTICE DISPENSING,NR23 1JP,DR MCANSH,BOLTS CLOSE,3200,NR25,441328710741
 Lewisham ,GP SURGERY,SE26 6JQ,WELLS PARK PRACTICE,1 WELLS PARK ROAD,11953,SE26,442086992840
 Wiltshire ,GP SURGERY,SP2 9DJ,SALISBURY MEDICAL PRACTICE,PEMBROKE ROAD,17708,SP02,441722333034
 Gloucestershire ,GP PRACTICE DISPENSING,GL56 0DS,DRS MORTON & SMITH,FOUR SHIRES MEDICAL CENTRE,4500,GL54,441608650317
 City and Hackney ,GP SURGERY,E9 5AN,DR OSEN & PARTNER,WICK HEALTH CENTRE,5700,EZ09,442089866341
 Mid Essex ,GP PRACTICE DISPENSING,CM0 7AY,WILLIAM FISHER MEDICAL CENTRE,HIGH STREET,6055,CM03,441621772360
 Brighton and Hove ,GP SURGERY,BN2 4FH,THE PRACTICE WILLOW HOUSE,50 HEATH HILL AVENUE,2000,BN02,441273606391
 Eastbourne Hailsham ,GP SURGERY,BN22 7PF,DR ANDREWS & PARTNERS,PRINCES PARK HEALTH CENTRE,14000,BN22,441323744644
 Coastal West Sussex ,GP SURGERY,PO20 8BH,WITTERINGS MEDICAL CENTRE,CAKEHAM ROAD,10000,PO20,441243671833
 North East West Devon,GP SURGERY,EX39 4AU,DR WILSON & PARTNERS,THE WOODA SURGERY,8310,EX39,441237471071
 Southampton ,GP SURGERY,SO19 9AL,WOOLSTON LODGE SURGERY,HAZELEIGH MEDICAL CENTRE,13900,SO19,442380446733
 West Norfolk ,GP SURGERY,PE30 3PT,SOUTHGATES & THE WOOTTONS SURGERIES,PRIORY LANE,21000,PE30,441553631469
 South Norfolk ,GP SURGERY,NR19 2EN,THEATRE ROYAL SURGERY,27 THEATRE STREET,9900,NR19,441362852800
 South Gloucestershire ,GP SURGERY,BS35 1DP,DR FOUBISTER & PARTNERS,THORNBURY HEALTH CENTRE,9500,BS35,441454412599
 South Lincolnshire ,GP PRACTICE DISPENSING,PE6 0SD,THORNEY MEDICAL PRACTICE,WISBECH ROAD,7597,PE06,441733270219
 West Kent ,GP SURGERY,ME20 6QJ,THORNHILLS MEDICAL PRACTICE,LARKFIELD HEALTH CENTRE,15000,ME20,441732849980
 Croydon ,GP SURGERY,CR7 8RL,THORNTON HEATH HEALTH CENTRE,61A GILLETT ROAD,7100,CR07,442086641590
 Norwich ,GP SURGERY,NR7 9QL,THORPEWOOD MEDICAL GROUP,144 WOODSIDE ROAD,14500,NR07,441603701477
 Nene ,PRIVATE HOSPITAL,NN1 5DR,BMI THREE SHIRES HOSPITAL,THE AVENUE,0,NN01,441604620311
 West London K&C and Qpp ,GP SURGERY,SW7 2SU,DRS BOREHAM & ROWLEY,THE SURGERY,2000,SW07,442072252424
 Basildon and Brentwood ,GP SURGERY,CM15 8AQ,THE TILE HOUSE SURGERY,33 SHENFIELD ROAD,14000,CM15,441277227711
 Hillingdon ,GP SURGERY,UB9 5GA,DENHAM MEDICAL CENTRE,QUEEN MOTHERS DRIVE,8500,UB09,441895832012
 South Devon and Torbay ,GP SURGERY,TQ11 0DE,BUCKFASTLEIGH MEDICAL CENTRE,7 BOSSELL ROAD,5000,TQ09,441364642534
 North East Essex ,GP SURGERY,CO5 0HB,TIPTREE MEDICAL CENTRE,CHURCH ROAD,11000,CO05,441621816475
 Wiltshire ,GP PRACTICE DISPENSING,SN16 0LQ,THE TOLSEY SURGERY,HIGH STREET,3316,SN14,441666840270
 North East West Devon,GP SURGERY,EX3 0EN,TOPSHAM SURGERY,HOLMAN WAY,9500,EX02,441392874646
 South Devon and Torbay ,HOSPITAL,TQ2 7AA,TORBAY DISTRICT GENERAL HOSPITAL (ACUTE/,NEWTON ROAD,0,TQ02,441803614567
 North East West Devon,GP PRACTICE DISPENSING,EX38 8EL,TORRINGTON HEALTH CENTRE,NEW ROAD,5200,EX39,441805622247
 North East West Devon,GP PRACTICE DISPENSING,EX38 8EU,CASTLE GARDENS SURGERY,CASTLE HILL GARDENS,6600,EX39,441805623222
 West Hampshire ,GP SURGERY,SO40 3ZN,DR GODFREY & PARTNERS,TOTTON HEALTH CENTRE,12000,SO40,442380865051
 Nene ,GP SURGERY,NN12 6HH,TOWCESTER MEDICAL CENTRE,LINK WAY,8300,NN12,441327359953
 North East West Devon,GP SURGERY,EX12 2RY,TOWNSEND HOUSE MEDICAL CENTRE,TOWNSEND HOUSE,7000,EX13,44129720616
 Somerset ,GP PRACTICE DISPENSING,TA22 9EN,EXMOOR MEDICAL CENTRE,OLDBERRY HOUSE,4000,TA24,441398323333
 West Kent ,PRIVATE HOSPITAL,TN2 4UL,NUFFIELD HEALTH TUNBRIDGE WELLS HOSPITAL,KINGSWOOD ROAD,0,TN02,441892531111
 Camden ,HOSPITAL,NW1 2BU,UNIVERSITY COLLEGE HOSPITAL,235 EUSTON ROAD,0,NW01,442034567890
 South Reading ,GP SURGERY,RG2 7HE,DR JOHNSTON & PARTNERS,THE UNIVERSITY OF READING MEDICAL PRACTI,19000,RG02,441189874551
 Brighton and Hove ,GP SURGERY,BN1 9RW,DR DENIS LE SEVE & PARTNERS,UNIVERSITY OF SUSSEX HEALTH CENTRE,16000,BN01,441273249049
 Camden ,GP SURGERY,WC1E 6DP,GOWER STREET PRACTICE,20 GOWER STREET,9155,WC01,442074676800
 Bath and NE Somerset ,GP PRACTICE DISPENSING,BA2 7AY,DR MCMASTER & PARTNERS,"UNIVERSITY MEDICAL CENTRE, QUARRY HOUSE",11000,BA02,441225789100
 Wiltshire ,GP PRACTICE DISPENSING,SN9 6DZ,DR JENKINS & PARTNERS,AVON VALLEY PRACTICE,5900,SN10,441980630221
 Hillingdon ,GP SURGERY,UB8 1UB,CENTRAL UXBRIDGE SURGERY,GEORGE STREET,16000,UB08,441895231925
 Greenwich ,GP SURGERY,SE10 9GB,VANBRUGH GROUP PRACTICE,"2ND FLOOR, GREENWICH SQUARE HEALTH CENTR",10000,SE10,442083126095
 Basildon and Brentwood ,GP SURGERY,SS16 4HD,CLAYHILL MEDICAL PRACTICE,VANGE HEALTH CENTRE,7280,SS16,441268288633
 Kernow ,GP SURGERY,TR14 8SN,VEOR SURGERY,SOUTH TERRACE,10000,TR15,441209611199
 Somerset ,GP SURGERY,TA1 3EX,VICTORIA GATE SURGERY,EAST REACH,4250,TA01,441823275656
 Herts Valleys ,GP SURGERY,WD5 0AL,VINE HOUSE HEALTH CENTRE,87-89 HIGH STREET,12000,WD04,441923262363
 Aylesbury Vale ,GP PRACTICE DISPENSING,HP18 0LY,WADDESDON SURGERY,GOSS AVENUE,5296,HP17,441296658585
 East and N Herts ,GP SURGERY,SG14 1HZ,WALLACE HOUSE SURGERY,5-11 ST. ANDREW STREET,14000,SG14,441992550541
 South Devon and Torbay ,GP SURGERY,TQ2 6HW,CHELSTON HALL SURGERY,OLD MILL ROAD,7200,TQ02,441803605359
 Milton Keynes ,GP SURGERY,MK7 7PB,DR HOWARD & PARTNERS,WALNUT TREE HEALTH CENTRE,10550,MK10,441908691123
 Aylesbury Vale ,GP SURGERY,HP20 1XB,POPLAR GROVE PRACTICE,MEADOW WAY,18346,HP20,441296468580
 Tower Hamlets ,GP SURGERY,E1W 2RL,WAPPING GROUP PRACTICE,WAPPING HEALTH CENTRE,9000,EZ01,442074819376
 East and N Herts ,GP SURGERY,EN8 8NW,WARDEN LODGE MEDICAL PRACTICE,GLEN LUCE,11500,EN08,441992622324
 Somerset ,GP SURGERY,TA1 2QA,WARWICK HOUSE MEDICAL PRACTICE,UPPER HOLWAY ROAD,6800,TA01,441823282147
 Milton Keynes ,GP SURGERY,MK2 3HN,WATER EATON HEALTH CENTRE,FERN GROVE,5700,MK02,441908371318
,HOSPITAL,WD18 0HB,WATFORD GENERAL HOSPITAL (ACUTE),60 VICARAGE ROAD,0,,441923244366
 Slough ,GP SURGERY,SL2 2DG,THE AVENUE MEDICAL CENTRE,WENTWORTH AVENUE,7000,SL02,441753524549
 Cambs and Peterborough ,GP SURGERY,PE4 6NB,DR PATEL & PARTNERS,13 SKATERS WAY,12500,PE04,441733578231
 West Hampshire ,PRIVATE HOSPITAL,SO53 2DW,NUFFIELD HEALTH WESSEX HOSPITAL,WINCHESTER ROAD,0,SO53,442380266377
 Newham ,GP SURGERY,E15 4ES,NEWHAM TRANSITIONAL PRIMARY CARE TEAM (P,10 VICARAGE LANE,3875,EZ15,442085362255
 West Hampshire ,GP SURGERY,SO30 3PY,WEST END SURGERY,MOORGREEN ROAD,7500,SO30,442380472126
 Hounslow ,HOSPITAL,TW7 6AF,WEST MIDDLESEX UNIVERSITY HOSPITAL (ACUT,TWICKENHAM ROAD,0,TW07,442085602121
 West Suffolk ,HOSPITAL,IP33 2QZ,WEST SUFFOLK HOSPITAL (ACUTE),HARDWICK LANE,0,IP33,441284713000
 Dorset ,GP SURGERY,BH4 9HJ,WESTBOURNE MEDICAL CENTRE,MILBURN ROAD,16400,BH02,441202752550
 Coastal West Sussex ,GP SURGERY,BN16 3NX,DR TAYLOR ROBERTS & PARTNERS,WESTCOURT MEDICAL CENTRE,11400,BN16,441903777000
 North and West Reading ,GP SURGERY,RG30 1AT,WESTERN ELMS SURGERY,WESTERN ELMS AVENUE,17000,RG30,441189590257
 Gloucestershire ,GP SURGERY,GL50 4DP,THE CORINTHIAN SURGERY,121 SWINDON ROAD,8437,GL50,448444778960
